"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test is to verify that user can create a job for process having bulk verification with self verification enabled","25052","Test to verify that user can create a job for process having bulk verification with self verification enabled","tests.scenarios.job","Fri Dec 13 20:09:29 IST 2024","passed","Fri Dec 13 20:09:54 IST 2024","TestBulkVerificationExecution","test_bulk_verification_execution","",""
"This testcase tests that user can execute the job with least count in number parameter with linked parameter value and both verification enabled","13900","Test to verify least count in number parameter with linked parameter value and both verification enabled","tests.scenarios.job","Fri Dec 13 21:20:35 IST 2024","failed","Fri Dec 13 21:20:49 IST 2024","TestLeastCount","test_least_count_execution","",""
"These testcase test adding Increase property task action in task with trigger set at the completion of task in global prototype ","15722","Test to add Increase property task action with trigger set at the completion of task in global prototype","tests.scenarios","Fri Dec 13 18:55:06 IST 2024","passed","Fri Dec 13 18:55:22 IST 2024","","test_global_prototype","",""
"This testcase tests that user can execute job with cjf parameters and solo task lock on a task in a prototype","22317","Test to verify that user can execute job with cjf parameters and solo task lock on a task in a prototype","tests.scenarios.job","Fri Dec 13 22:03:15 IST 2024","passed","Fri Dec 13 22:03:38 IST 2024","TestSoloTaskLockExecution","test_solo_task_lock_execution","",""
"This testcases test that a user can complete a job for a process having interlocks with date property and task start trigger","22428","Test user can complete a job for a process with interlocks having date property and task start trigger","tests.scenarios.job","Fri Dec 13 20:42:56 IST 2024","failed","Fri Dec 13 20:43:19 IST 2024","TestInterlocksExecution","test_interlocks_execution","",""
"This test case tests the linked cjf parameters should have latest value for new scheduled job","21416","Test to verify linked cjf parameters should have latest value for new scheduled job","tests.scenarios","Fri Dec 13 18:37:24 IST 2024","passed","Fri Dec 13 18:37:45 IST 2024","TestCreateScheduler","test_create_schedulers","",""
"This testcase tests executing the parameters and completing the job with number parameter having least count and constant value in global prototype","152183","Test to complete the job with number parameter least count and constant value in global prototype","tests.scenarios.job","Fri Dec 13 21:21:46 IST 2024","passed","Fri Dec 13 21:24:18 IST 2024","TestLeastCount","test_least_count_execution","",""
"This testcase test unarchive user group","1675","Test to unarchive user group","tests.scenarios.user_and_access","Fri Dec 13 23:09:01 IST 2024","passed","Fri Dec 13 23:09:03 IST 2024","TestUserGroups","test_user_groups","",""
"This test case tests if user can configure interlocks on task with solo task lock and with completed trigger","20589","Test to configure interlocks on task with solo task lock and with task completed trigger","tests.scenarios","Fri Dec 13 19:48:44 IST 2024","passed","Fri Dec 13 19:49:04 IST 2024","TestSoloTaskLock","test_solo_task_lock","",""
"This test case validates that the user can configure branching rules to hide the task which is configured as cannot executor in task executor lock","7796","Test to validate that the user can configure branching rules to hide the task which is configured as cannot executor in task executor lock","tests.scenarios","Fri Dec 13 20:05:33 IST 2024","passed","Fri Dec 13 20:05:41 IST 2024","TestTaskExecutorLock","test_task_executor_lock","",""
"This test case tests that the user gets expected error message when trying to complete task having interlocks with all allowed property and task completed trigger","22165","Test to verify that user gets expected error message when trying to complete task having interlocks with all allowed property and task completed trigger","tests.scenarios.job","Fri Dec 13 20:49:16 IST 2024","passed","Fri Dec 13 20:49:39 IST 2024","TestInterlocksExecution","test_interlocks_execution","",""
"This test is to verify the scenario with dependencies and Interlocks configured during job execution","16517","Test to Verify scenario with dependencies and Interlocks configured during job execution","tests.scenarios.job","Fri Dec 13 20:26:28 IST 2024","passed","Fri Dec 13 20:26:45 IST 2024","TestDependencyExecution","test_dependency_execution","",""
"This test case tests searching a process through process id in published process","16254","Test to search a process through process id in published process","tests.scenarios","Fri Dec 13 19:04:38 IST 2024","passed","Fri Dec 13 19:04:54 IST 2024","TestProcess","test_processes","",""
"This test is to verify the execution of a job with a task dependency","13188","Test to verify the execution of a job with a task dependency","tests.scenarios.job","Fri Dec 13 20:23:54 IST 2024","passed","Fri Dec 13 20:24:07 IST 2024","TestDependencyExecution","test_dependency_execution","",""
"This testcase tests completing the task by executing all the parameters present in the task","25426","Test to verify that user can complete the task by executing all the parameters present in the task","tests.scenarios.job","Fri Dec 13 20:57:21 IST 2024","passed","Fri Dec 13 20:57:46 IST 2024","TestJobExecution","test_job_execution","",""
"This test case validates if a scheduler is deprecated","16147","Test to check if a scheduler is deprecated","tests.scenarios","Fri Dec 13 18:35:57 IST 2024","passed","Fri Dec 13 18:36:13 IST 2024","TestCreateScheduler","test_create_schedulers","",""
"These test case tests adding optional parameters in prototype and publishing it","14656","Test to add optional parameters in prototype","tests.scenarios","Fri Dec 13 19:28:50 IST 2024","passed","Fri Dec 13 19:29:04 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"These test case test deleting all the parameters mapped to task","13719","Test to delete all the parameters mapped to the task","tests.scenarios","Fri Dec 13 19:10:41 IST 2024","passed","Fri Dec 13 19:10:54 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This test is to verify the execution of a job with scheduling at start task level and linked parameter","19852","Test to verify the execution of a job with scheduling at start task level and linked parameter","tests.scenarios.job","Fri Dec 13 21:56:59 IST 2024","passed","Fri Dec 13 21:57:19 IST 2024","TestSingleSelectDropdownOptions","test_scheduling_execution","",""
"This testcase tests completing the task after correction is updated but rejected","22257","Test to verify that user can initiate correction and complete the task after correction is updated but rejected","tests.scenarios.job","Fri Dec 13 20:16:42 IST 2024","passed","Fri Dec 13 20:17:04 IST 2024","TestCorrectionExecution","test_correction_execution","",""
"These testcase test adding Create Object action type at start trigger with multi resource selector and task dependency","11848","Test to add Create Object action type at start trigger with multi resource selector and task dependency","tests.scenarios","Fri Dec 13 18:45:24 IST 2024","passed","Fri Dec 13 18:45:36 IST 2024","TestDependencies","test_dependency","",""
"This testcase tests that if the Archive Object Task Actions with multi resource parameter gets triggered at the completion of the task during job execution","159290","Test to verify that the Archive Object Task Actions with multi resource parameter works as expected at completion of the task","tests.scenarios.job","Fri Dec 13 22:32:56 IST 2024","passed","Fri Dec 13 22:35:35 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test case is to show the archived the properties of an object type","6985","This test case is to show the archived  properties of object type","tests.scenarios.ontology","Fri Dec 13 23:08:05 IST 2024","passed","Fri Dec 13 23:08:12 IST 2024","","test_object_property","",""
"This testcase tests if Set relation task actions for one to many cardinality added on task gets triggered at start of the task during job execution","162984","Test to verify that the Set relation Task Actions works as expected during execution","tests.scenarios.job","Fri Dec 13 22:41:44 IST 2024","failed","Fri Dec 13 22:44:27 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test case is to validate property values when edit object in audit logs","3428","This test case is to validate property values when edit object in audit logs","tests.scenarios.ontology","Fri Dec 13 23:07:21 IST 2024","passed","Fri Dec 13 23:07:25 IST 2024","","test_object","",""
"This test case tests audits logs for linked resource parameter during execution","25483","Verify audit logs for linked resource parameter","tests.scenarios.job_audits","Fri Dec 13 23:02:29 IST 2024","passed","Fri Dec 13 23:02:54 IST 2024","TestAuditLogsOfLinkedParameters","test_audit_logs_of_linked_parameters","",""
"This test is to verify that user cannot edit cjf parameters value after completing the job","26252","Test to verify that user cannot edit cjf parameters value after completing the job","tests.scenarios.job","Fri Dec 13 20:33:04 IST 2024","passed","Fri Dec 13 20:33:30 IST 2024","TestEditCjfparameterValues","test_edit_cjf_parameter_values","",""
"This test case validates Facility admin & Publisher are able to recall a prototype","4043","Test to validate Facility admin & Publisher are able to recall a prototype","tests.scenarios","Fri Dec 13 19:33:04 IST 2024","passed","Fri Dec 13 19:33:08 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This test case tests deleting Stage and task in global prototype and publish it","7533","Test to Delete Stage and task in global prototype","tests.scenarios","Fri Dec 13 18:49:00 IST 2024","passed","Fri Dec 13 18:49:08 IST 2024","","test_global_prototype","",""
"These testcase test adding Create Object action type","11228","Test to add Create Object action type","tests.scenarios","Fri Dec 13 19:20:06 IST 2024","passed","Fri Dec 13 19:20:18 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"These test case test adding linked parameters in the prototype and publish it","13417","Test to add linked parameters","tests.scenarios","Fri Dec 13 19:09:47 IST 2024","passed","Fri Dec 13 19:10:01 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This testcase validate error message when user complete the task without completing the self verification","18393","Test to validate when user complete the task without completing the self verification","tests.scenarios.job","Fri Dec 13 21:31:19 IST 2024","passed","Fri Dec 13 21:31:38 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This test case tests audits logs for parameters linked with CJF resource parameter during execution","21285","Verify audit logs for parameters linked with CJF resource parameter","tests.scenarios.job_audits","Fri Dec 13 23:02:07 IST 2024","failed","Fri Dec 13 23:02:28 IST 2024","TestAuditLogsOfLinkedParameters","test_audit_logs_of_linked_parameters","",""
"This test case to test for scheduling with start date later then end date","9063","Test to create a new job with scheduling with start date later then end date","tests.scenarios.job","Fri Dec 13 20:22:49 IST 2024","passed","Fri Dec 13 20:22:59 IST 2024","TestCreateJobs","test_create_jobs","",""
"This test case tests that the user gets expected error message when trying to complete task having interlocks with all allowed property and task completed trigger","20802","Test to verify that user gets expected error message when trying to complete task having interlocks with all allowed property and task completed trigger","tests.scenarios.job","Fri Dec 13 20:48:56 IST 2024","passed","Fri Dec 13 20:49:16 IST 2024","TestInterlocksExecution","test_interlocks_execution","",""
"This testcase tests validating error message when no corrector and reviewer is added","13196","Test to verify that user validate error message when no corrector and reviewer is added","tests.scenarios.job","Fri Dec 13 20:18:05 IST 2024","passed","Fri Dec 13 20:18:18 IST 2024","TestCorrectionExecution","test_correction_execution","",""
"This testcases test that a user can complete a job for a process where interlocks are configured for multiple property and task completed trigger","20823","Test user can complete a job for a process with interlocks configured for multiple property and task completed trigger","tests.scenarios.job","Fri Dec 13 20:47:27 IST 2024","passed","Fri Dec 13 20:47:48 IST 2024","TestInterlocksExecution","test_interlocks_execution","",""
"This test case tests that the user gets expected error message when trying to complete task having interlocks with number property and task start trigger","26245","Test to verify that user gets expected error message when trying to complete task having interlocks with number property and task start trigger","tests.scenarios.job","Fri Dec 13 20:37:35 IST 2024","passed","Fri Dec 13 20:38:01 IST 2024","TestInterlocksExecution","test_interlocks_execution","",""
"This test case verify that if user can complete the repeated task successfully","0","Test to complete the repeated task","tests.scenarios.job","Fri Dec 13 21:53:02 IST 2024","skipped","Fri Dec 13 21:53:02 IST 2024","TestRepeatTask","test_repeat_task","",""
"This test case tests if solo task lock is removed after recalling the process","1968","Test to verify if solo task lock is removed after recalling the process","tests.scenarios","Fri Dec 13 19:48:27 IST 2024","passed","Fri Dec 13 19:48:29 IST 2024","TestSoloTaskLock","test_solo_task_lock","",""
"This test case tests adding interlocks on single select dropdown property in task with task start trigger","13376","Test to configure interlocks on task with single select dropdown property and with task start trigger","tests.scenarios","Fri Dec 13 18:32:53 IST 2024","passed","Fri Dec 13 18:33:06 IST 2024","TestConfigureConditions","test_configure_conditions","",""
"This test case validates error when user tries to delete the stage having linked parameters","6157","Test to validate error when user tries to delete stage with linked parameters","tests.scenarios","Fri Dec 13 18:38:33 IST 2024","passed","Fri Dec 13 18:38:39 IST 2024","TestDeleteParameterValidations","test_delete_parameter_validations","",""
"This test case tests recalling revised global process when submitted for review","9118","Test to recall the revised global process when submitted for review","tests.scenarios","Fri Dec 13 18:51:29 IST 2024","passed","Fri Dec 13 18:51:39 IST 2024","","test_global_prototype","",""
"This test case tests that user can export the published process","15396","Test to verify that user can export the process","tests.scenarios","Fri Dec 13 19:05:16 IST 2024","passed","Fri Dec 13 19:05:31 IST 2024","TestProcess","test_processes","",""
"This testcase tests completing the job by skipping the optional parameters with self verification enabled","12896","Test to verify that user can complete the job by skipping the optional parameters with self verification enabled","tests.scenarios.job","Fri Dec 13 21:28:27 IST 2024","passed","Fri Dec 13 21:28:40 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This test case validates if user can select multiple tasks in cannot executor task list","7351","Test to validate if user can select multiple tasks in cannot executor task list","tests.scenarios","Fri Dec 13 20:03:36 IST 2024","passed","Fri Dec 13 20:03:44 IST 2024","TestTaskExecutorLock","test_task_executor_lock","",""
"This test case tests to validate if the job assigned to self is visible in the not started tab in inbox","0","Test to validate that job assigned to self is visible in the inbox","tests.scenarios.job","Fri Dec 13 20:22:31 IST 2024","skipped","Fri Dec 13 20:22:31 IST 2024","TestCreateJobs","test_create_jobs","",""
"These test case test deleting all the unmapped parameters","13119","Test to delete all the unmapped parameters","tests.scenarios","Fri Dec 13 19:13:27 IST 2024","passed","Fri Dec 13 19:13:40 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This testcase verifies that user can configure set property task action with trigger set at start of task and parameterise it using date parameter during process revision and removing the task action","27439","Verify that user can configure set property task action with trigger set at start of task and parameterise it using date parameter during process revision and removing the task action","tests.scenarios","Fri Dec 13 20:02:35 IST 2024","passed","Fri Dec 13 20:03:03 IST 2024","TestTaskActions","test_task_actions","",""
"This test case tests archiving the recalled prototype","7178","Test to archive the recalled prototype","tests.scenarios","Fri Dec 13 19:32:35 IST 2024","passed","Fri Dec 13 19:32:42 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This testcase tests that user can execute the job with least count in number parameter with linked parameter value","25574","Test to verify that user can execute job with least count in number parameter with linked parameter value","tests.scenarios.job","Fri Dec 13 21:19:07 IST 2024","passed","Fri Dec 13 21:19:32 IST 2024","TestLeastCount","test_least_count_execution","",""
"This test is to verify the execution of a job with scheduling at complete task level and errorcorrection enabled","28140","Test to verify the execution of a job with scheduling at complete task level and error correction enabled","tests.scenarios.job","Fri Dec 13 21:55:27 IST 2024","passed","Fri Dec 13 21:55:55 IST 2024","TestSingleSelectDropdownOptions","test_scheduling_execution","",""
"This testcase tests adding branching rules to show hidden parameters in single select dropdown parameter with recurrence","0","Test to add branching rule in single select dropdown parameter to show hidden parameters with recurrence","tests.scenarios","Fri Dec 13 19:36:22 IST 2024","skipped","Fri Dec 13 19:36:22 IST 2024","TestRecurrence","test_recurrence_task_action","",""
"This test is to validate the audit logs for date time parameter execution","1251","Test to validate audit logs for date time parameter execution","tests.scenarios.job_audits","Fri Dec 13 23:04:59 IST 2024","failed","Fri Dec 13 23:05:00 IST 2024","TestJobActionAuditLogs","test_audits_of_parameter_execution","",""
"This testcase tests that user can execute job with checklist added and solo task lock on a task in a prototype","11355","Test to verify that user can execute job with checklist added and solo task lock on a task in a prototype","tests.scenarios.job","Fri Dec 13 22:04:48 IST 2024","passed","Fri Dec 13 22:05:00 IST 2024","TestSoloTaskLockExecution","test_solo_task_lock_execution","",""
"This test case tests recalling a prototype submitted for review","1968","Test to recall a prototype submitted for review","tests.scenarios","Fri Dec 13 19:31:04 IST 2024","passed","Fri Dec 13 19:31:06 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This test is to verify the execution of a job with a task dependency","11537","Test to verify the execution of a job with a task dependency","tests.scenarios.job","Fri Dec 13 20:23:42 IST 2024","passed","Fri Dec 13 20:23:54 IST 2024","TestDependencyExecution","test_dependency_execution","",""
"This testcase tests that user can execute the job with least count in should be parameter with linked parameter value","0","Test to verify that user can execute job with least count in should be parameter with linked parameter value","tests.scenarios.job","Fri Dec 13 21:21:46 IST 2024","skipped","Fri Dec 13 21:21:46 IST 2024","TestLeastCount","test_least_count_execution","",""
"This test case tests adding Create Object action type with should be parameter mapping to number property","0","Test to add Create Object action type with should be parameter mapping to number property","tests.scenarios","Fri Dec 13 19:58:12 IST 2024","skipped","Fri Dec 13 19:58:12 IST 2024","TestTaskActions","test_task_actions","",""
"This testcase tests if set property task actions gets triggered with date parameterized at completion of task","18361","Test to verify that the Set Property Task Actions works as expected during execution with date parameterized at completion of task","tests.scenarios.job","Fri Dec 13 22:55:25 IST 2024","passed","Fri Dec 13 22:55:43 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test is to validate the audit logs for media parameter execution","2251","Test to validate audit logs for media parameter execution","tests.scenarios.job_audits","Fri Dec 13 23:04:36 IST 2024","passed","Fri Dec 13 23:04:38 IST 2024","TestJobActionAuditLogs","test_audits_of_parameter_execution","",""
"This test case tests start job and verify in inbox ongoing tab","0","Test to start job and verify in inbox ongoing tab","tests.scenarios.job","Fri Dec 13 21:12:23 IST 2024","skipped","Fri Dec 13 21:12:23 IST 2024","TestJobExecution","test_job_execution","",""
"This testcase tests initiating correction and adding multiple users as corrector","21957","Test to verify that user can initiate correction and add multiple users as corrector","tests.scenarios.job","Fri Dec 13 20:17:04 IST 2024","passed","Fri Dec 13 20:17:26 IST 2024","TestCorrectionExecution","test_correction_execution","",""
"This test case tests validations on empty stage name, task name & task with no parameter","896","Test to check validations added on prototype with empty fields","tests.scenarios","Fri Dec 13 19:08:44 IST 2024","passed","Fri Dec 13 19:08:45 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This testcase tests adding branching rules in single select resource parameter with recurrence","0","Test to add branching rule in single select resource parameter with recurrence","tests.scenarios","Fri Dec 13 19:36:22 IST 2024","skipped","Fri Dec 13 19:36:22 IST 2024","TestRecurrence","test_recurrence_task_action","",""
"This testcase tests adding multiple branching rules in single select dropdown parameter mapped to cjf","9448","Test to add multiple branching rule in single select dropdown parameter mapped to cjf","tests.scenarios","Fri Dec 13 19:13:47 IST 2024","passed","Fri Dec 13 19:13:57 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"These testcase test adding Create Object action type with multi select dropdown mapping with load options during process revision when removing the task action","24192","Test to add Create Object action type with multi select dropdown mapping with load options during process revision when removing the task action","tests.scenarios","Fri Dec 13 19:03:49 IST 2024","passed","Fri Dec 13 19:04:13 IST 2024","TestMultiSelectDropdownOptions","test_multi_select_load_options","",""
"This test case tests modifying due date of scheduler","8752","Test to modify due date of scheduler","tests.scenarios","Fri Dec 13 18:36:57 IST 2024","passed","Fri Dec 13 18:37:06 IST 2024","TestCreateScheduler","test_create_schedulers","",""
"This test case tests self-verification is disabled for an existing parameter in revision","13948","Test to verify self-verification is disabled for an existing parameter in revision","tests.scenarios","Fri Dec 13 19:30:00 IST 2024","passed","Fri Dec 13 19:30:14 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This testcase tests completing the job by skipping the optional parameters present in the task","21849","Test to verify that user can complete the job by skipping the optional parameters present in the task","tests.scenarios.job","Fri Dec 13 20:56:12 IST 2024","passed","Fri Dec 13 20:56:34 IST 2024","TestJobExecution","test_job_execution","",""
"This test case is to validate error when object values are updated without providing reason","2968","This test case is to validate error when object values are updated without providing reason","tests.scenarios.ontology","Fri Dec 13 23:07:02 IST 2024","passed","Fri Dec 13 23:07:05 IST 2024","","test_object","",""
"These Testcases test that user can configure task dependency on task","6885","Test to validate that user can configure task dependency","tests.scenarios","Fri Dec 13 18:42:46 IST 2024","passed","Fri Dec 13 18:42:53 IST 2024","TestDependencies","test_dependency","",""
"This testcases test that a user can complete a job for a process having interlocks with date-time property andtask completed trigger","22082","Test user can complete a job for a process with interlocks having date-time property and task completed trigger","tests.scenarios.job","Fri Dec 13 20:44:25 IST 2024","passed","Fri Dec 13 20:44:47 IST 2024","TestInterlocksExecution","test_interlocks_execution","",""
"This testcase tests if Set relation task actions added on task gets triggered at start of the task during job execution","21091","Test to verify that the Set relation Task Actions works as expected during execution at start","tests.scenarios.job","Fri Dec 13 22:22:28 IST 2024","failed","Fri Dec 13 22:22:49 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"These testcase test adding set property action type at start trigger with multi resource parameter","163064","Test to add Set Property action type at start trigger with multi resource parameter","tests.scenarios","Fri Dec 13 19:51:49 IST 2024","passed","Fri Dec 13 19:54:32 IST 2024","TestTaskActions","test_task_actions","",""
"This testcase verifies that user can link a single-select dropdown CJF parameter load options with a resource CJF parameter","12444","Test to verify user can link a single-select dropdown CJF parameter load options with a resource CJFparameter","tests.scenarios","Fri Dec 13 19:43:59 IST 2024","passed","Fri Dec 13 19:44:12 IST 2024","TestSingleSelectDropdownOptions","test_single_select_load_options","",""
"This test is to verify audit logs for bulk self verification","27505","Test to verify audit logs for bulk self verification","tests.scenarios.job","Fri Dec 13 20:15:37 IST 2024","passed","Fri Dec 13 20:16:05 IST 2024","TestBulkVerificationExecution","test_bulk_verification_execution","",""
"This test case tests Global User archiving Global prototype","1263","Test to archive Global prototype","tests.scenarios","Fri Dec 13 18:54:37 IST 2024","passed","Fri Dec 13 18:54:39 IST 2024","","test_global_prototype","",""
"This test case is to verify user can add new object property to existing object type","8227","This test case is to verify user can add new object property to existing object type ","tests.scenarios.ontology","Fri Dec 13 23:05:59 IST 2024","passed","Fri Dec 13 23:06:08 IST 2024","","test_object","",""
"This testcase test update of user group by removing user","1352","Test to update user group by removing user","tests.scenarios.user_and_access","Fri Dec 13 23:08:55 IST 2024","passed","Fri Dec 13 23:08:57 IST 2024","TestUserGroups","test_user_groups","",""
"This test case tests unarchiving the recalled global prototype","24406","Test to unarchive the recalled global prototype","tests.scenarios","Fri Dec 13 18:50:23 IST 2024","passed","Fri Dec 13 18:50:48 IST 2024","","test_global_prototype","",""
"This testcase verifies that user can configure set property task action with trigger set at completion of task and parameterise it using date parameter","13314","Verify that user can configure set property task action with trigger set at completion of task and parameterise it using date parameter","tests.scenarios","Fri Dec 13 19:58:51 IST 2024","passed","Fri Dec 13 19:59:04 IST 2024","TestTaskActions","test_task_actions","",""
"This testcase validate error message when user enters incorrect password during self verification","20171","Test to validate when user enters incorrect password during self verification","tests.scenarios.job","Fri Dec 13 21:30:59 IST 2024","passed","Fri Dec 13 21:31:19 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This test case tests archiving a prototype","2295","Test to archive a prototype","tests.scenarios","Fri Dec 13 19:04:31 IST 2024","passed","Fri Dec 13 19:04:33 IST 2024","TestProcess","test_processes","",""
"These testcase test adding Increase property task action in task with trigger set at the start of task","15903","Test to add Increase property task action with trigger set at the start of task","tests.scenarios","Fri Dec 13 19:17:03 IST 2024","passed","Fri Dec 13 19:17:19 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This testcase tests that user can execute job with solo task lock on a task in a prototype","10224","Test to verify that user can execute job with solo task lock on a task in a prototype","tests.scenarios.job","Fri Dec 13 22:01:47 IST 2024","passed","Fri Dec 13 22:01:58 IST 2024","TestSoloTaskLockExecution","test_solo_task_lock_execution","",""
"This testcase tests that user can execute the checklist present in the job with peer verification","14388","Test to verify the peer verification for checklist activity during job execution","tests.scenarios.job","Fri Dec 13 21:37:11 IST 2024","passed","Fri Dec 13 21:37:25 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This test case tests if user can update the details of prototype","1258","Test to update the prototype name and description","tests.scenarios","Fri Dec 13 19:33:15 IST 2024","passed","Fri Dec 13 19:33:16 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This test case tests that the user gets expected error message when trying to complete task having interlocks with single select dropdown property and task start trigger","21753","Test to verify that user gets expected error message when trying to complete task having interlocks with single select dropdown property and task start trigger","tests.scenarios.job","Fri Dec 13 20:41:06 IST 2024","passed","Fri Dec 13 20:41:28 IST 2024","TestInterlocksExecution","test_interlocks_execution","",""
"This test case is to Verify that a secret key is generated upon the creation of a new user ","556","This test case is to Verify that a secret key is generated upon the creation of a new user ","tests.scenarios.user_and_access","Fri Dec 13 23:09:04 IST 2024","passed","Fri Dec 13 23:09:05 IST 2024","","test_users_and_access","",""
"This testcase tests that user can execute job with branching rule and solo task lock on a task in a prototype","13215","Test to verify that user can execute job with branching rule and solo task lock on a task in a prototype","tests.scenarios.job","Fri Dec 13 22:03:49 IST 2024","passed","Fri Dec 13 22:04:02 IST 2024","TestSoloTaskLockExecution","test_solo_task_lock_execution","",""
"This testcase tests that if the Archive Object Task Actions gets triggered at the start of the task during job execution","20513","Test to verify that the Archive Object Task Actions works as expected at the start of the task","tests.scenarios.job","Fri Dec 13 22:24:16 IST 2024","passed","Fri Dec 13 22:24:36 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"These test case tests adding should be parameter with least count and linked parameter and self verifications","0","Test to add should be parameter with least count and linked parameter in global prototype","tests.scenarios","Fri Dec 13 19:01:45 IST 2024","skipped","Fri Dec 13 19:01:45 IST 2024","","test_global_prototype","",""
"This testcases test that a user can complete a job for a process having interlocks with date-time property andtask start trigger","23875","Test user can complete a job for a process with interlocks having date-time property and task start trigger","tests.scenarios.job","Fri Dec 13 20:45:56 IST 2024","passed","Fri Dec 13 20:46:20 IST 2024","TestInterlocksExecution","test_interlocks_execution","",""
"This test case tests that the user gets expected error message when trying to complete task having interlocks with date-time property and task start trigger","21852","Test to verify that user gets expected error message when trying to complete task having interlocks with date-time property and task start trigger","tests.scenarios.job","Fri Dec 13 20:47:05 IST 2024","passed","Fri Dec 13 20:47:27 IST 2024","TestInterlocksExecution","test_interlocks_execution","",""
"This test case validates error when user tries to delete the parameter on which branching rules are configured","4367","Test to validate error when user tries to delete the parameter on which branching rules are configured","tests.scenarios","Fri Dec 13 18:38:44 IST 2024","passed","Fri Dec 13 18:38:48 IST 2024","TestDeleteParameterValidations","test_delete_parameter_validations","",""
"This testcase test creation of user group","789","Test to create user group","tests.scenarios.user_and_access","Fri Dec 13 23:08:52 IST 2024","passed","Fri Dec 13 23:08:53 IST 2024","TestUserGroups","test_user_groups","",""
"This testcase validates the least count error message in number parameter","22831","Test to validate least count error message in number parameter","tests.scenarios.job","Fri Dec 13 21:17:03 IST 2024","passed","Fri Dec 13 21:17:26 IST 2024","TestLeastCount","test_least_count_execution","",""
"This test case verifies if user can add solo task lock on task in prototype with both verification enabled","6532","Test to verify if user can add solo task lock on task in prototype with both verification enabled","tests.scenarios","Fri Dec 13 19:46:40 IST 2024","passed","Fri Dec 13 19:46:47 IST 2024","TestSoloTaskLock","test_solo_task_lock","",""
"This test case is to create assets logs for object type with process properties","1338","This test case is to create assets logs for object type with process properties","tests.scenarios.ontology","Fri Dec 13 23:07:32 IST 2024","passed","Fri Dec 13 23:07:33 IST 2024","","test_object","",""
"This testcase verifies that user can reload the single select dropdown parameter options after editing single select object properties","14163","Test to verify that reload the single select dropdown options after editing object properties","tests.scenarios","Fri Dec 13 19:40:25 IST 2024","passed","Fri Dec 13 19:40:39 IST 2024","TestSingleSelectDropdownOptions","test_single_select_load_options","",""
"This testcase verifies that user can load the single select dropdown options from object properties","11190","Test to verify that user can load the single select dropdown options from object properties","tests.scenarios","Fri Dec 13 19:40:13 IST 2024","passed","Fri Dec 13 19:40:25 IST 2024","TestSingleSelectDropdownOptions","test_single_select_load_options","",""
"This test case tests if user can configure interlocks on task with solo task lock and with started trigger","21083","Test to configure interlocks on task with solo task lock and with task started trigger","tests.scenarios","Fri Dec 13 19:49:04 IST 2024","passed","Fri Dec 13 19:49:25 IST 2024","TestSoloTaskLock","test_solo_task_lock","",""
"This test case is to create assets logs for object type with filters","1314","This test case is to create assets logs for object type with filters","tests.scenarios.ontology","Fri Dec 13 23:07:34 IST 2024","passed","Fri Dec 13 23:07:36 IST 2024","","test_object","",""
"This test is to verify the job execution for chained dependency","16284","Test to Verify the job execution for chained dependency","tests.scenarios.job","Fri Dec 13 20:27:44 IST 2024","passed","Fri Dec 13 20:28:00 IST 2024","TestDependencyExecution","test_dependency_execution","",""
"This testcase tests user should be able to complete both verification during job execution","40136","Test to verify user should be able to complete both verification during job execution","tests.scenarios.job","Fri Dec 13 21:41:19 IST 2024","passed","Fri Dec 13 21:41:59 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This testcase tests if Decrease property task actions with multi resource added on task gets triggered at start of the task during job execution","29538","Test to verify that the Decrease Property Task Actions works as expected during execution","tests.scenarios.job","Fri Dec 13 22:29:54 IST 2024","passed","Fri Dec 13 22:30:24 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
